k,Average_Sensitivity,Average_Specificity,Average_Precision,Average_Recall,Average_F1
1,0.096 (0.000447),0.9972 (0.0006),0.9732 (0.004094),0.919 (0.00395),0.9453 (0.026595)
2,0.0903 (0.000458),0.999 (0.0),0.9909 (0.001446),0.8618 (0.005075),0.9218 (0.060214)
3,0.0944 (0.00049),0.9981 (0.000539),0.9815 (0.003956),0.9051 (0.004437),0.9418 (0.036967)
4,0.0911 (0.000831),0.9989 (0.0003),0.9902 (0.003092),0.8697 (0.009045),0.9261 (0.057121)
5,0.0929 (0.0007),0.9985 (0.0005),0.9859 (0.00333),0.8896 (0.007378),0.9353 (0.046292)
10,0.0887 (0.000458),0.999 (0.0),0.9917 (0.001487),0.8441 (0.003015),0.9119 (0.067867)
15,0.0874 (0.0008),0.999 (0.0),0.9912 (0.001077),0.8321 (0.00673),0.9048 (0.073011)
20,0.0845 (0.000922),0.9991 (0.0003),0.9926 (0.001497),0.8018 (0.008459),0.8871 (0.085718)
30,0.0814 (0.0008),0.9992 (0.0004),0.9933 (0.001187),0.7677 (0.008989),0.8659 (0.098611)
40,0.0783 (0.001005),0.9994 (0.00049),0.9939 (0.001513),0.7369 (0.009884),0.8461 (0.109646)
50,0.0755 (0.001285),0.9995 (0.0005),0.9943 (0.001676),0.7097 (0.011127),0.8281 (0.118922)
