k,Average_Sensitivity,Average_Specificity,Average_Precision,Average_Recall,Average_F1
1,0.0956 (0.00049),0.9915 (0.001204),0.9243 (0.009456),0.9351 (0.004636),0.9294 (0.007347)
2,0.0903 (0.0009),0.9976 (0.00049),0.9762 (0.003789),0.8821 (0.008006),0.9268 (0.045411)
3,0.0957 (0.000458),0.994 (0.000632),0.9465 (0.003828),0.9367 (0.005178),0.9415 (0.00706)
4,0.0924 (0.000663),0.997 (0.000447),0.9705 (0.0035),0.9045 (0.007658),0.9363 (0.032709)
5,0.0952 (0.0006),0.9948 (0.000748),0.952 (0.004583),0.9328 (0.00551),0.9422 (0.010896)
10,0.0929 (0.000539),0.9967 (0.000458),0.9683 (0.003195),0.9089 (0.00589),0.9377 (0.029396)
15,0.0935 (0.000671),0.9955 (0.0005),0.9594 (0.003555),0.9147 (0.006885),0.9365 (0.022862)
20,0.0923 (0.00064),0.9962 (0.0006),0.9638 (0.004331),0.9006 (0.00771),0.9311 (0.031459)
30,0.0912 (0.0006),0.9959 (0.0007),0.9622 (0.005845),0.8893 (0.006451),0.9242 (0.035491)
40,0.0899 (0.000943),0.9959 (0.000539),0.9612 (0.004285),0.8742 (0.009336),0.9158 (0.042635)
50,0.0886 (0.000917),0.9962 (0.0006),0.9618 (0.004423),0.8615 (0.008453),0.9087 (0.047951)
